date,sector,exchange,pe
2024-05-09,Technology,NASDAQ,51.85090979414085
2024-05-08,Technology,NASDAQ,53.927228093785594
2024-05-07,Technology,NASDAQ,54.109274066098955
2024-05-06,Technology,NASDAQ,54.67024909330755
2024-05-03,Technology,NASDAQ,39.621735184443594
2024-05-02,Technology,NASDAQ,39.48861495801159
2024-05-01,Technology,NASDAQ,38.557471800176685
2024-04-30,Technology,NASDAQ,39.20814944068309
2024-04-29,Technology,NASDAQ,40.03659044031123
2024-04-26,Technology,NASDAQ,40.07410445214414
2024-04-25,Technology,NASDAQ,39.25153297074502
2024-04-24,Technology,NASDAQ,38.98172453294613
2024-04-23,Technology,NASDAQ,38.78859221102456
2024-04-22,Technology,NASDAQ,37.781881086802834
2024-04-19,Technology,NASDAQ,36.91710242966326
2024-04-18,Technology,NASDAQ,38.78496406502415
2024-04-17,Technology,NASDAQ,38.8010815545841
2024-04-16,Technology,NASDAQ,39.92330048569815
2024-04-15,Technology,NASDAQ,39.7419746755361
2024-04-12,Technology,NASDAQ,40.879770903976734
2024-04-11,Technology,NASDAQ,41.85038655310907
2024-04-10,Technology,NASDAQ,40.86792844929566
2024-04-09,Technology,NASDAQ,40.996000495439056
2024-04-08,Technology,NASDAQ,41.15418910525313
2024-04-05,Technology,NASDAQ,41.09005581758903
2024-04-04,Technology,NASDAQ,40.601517086009
2024-04-03,Technology,NASDAQ,41.487112070276176
2024-04-02,Technology,NASDAQ,41.459000778499004
2024-04-01,Technology,NASDAQ,41.99875714099931
2024-03-28,Technology,NASDAQ,41.33756143272937
2024-03-27,Technology,NASDAQ,41.33419520844895
2024-03-26,Technology,NASDAQ,103.07202995758063
2024-03-25,Technology,NASDAQ,40.64966533248944
2024-03-22,Technology,NASDAQ,104.27830183634742
2024-03-21,Technology,NASDAQ,102.85597405389876
2024-03-20,Technology,NASDAQ,98.18344671922817
2024-03-19,Technology,NASDAQ,94.8775277253821
2024-03-18,Technology,NASDAQ,96.91847822851301
2024-03-15,Technology,NASDAQ,96.25164918694857
2024-03-14,Technology,NASDAQ,96.02019897780832
2024-03-13,Technology,NASDAQ,96.29120908940205
2024-03-12,Technology,NASDAQ,95.8425910859162
2024-03-11,Technology,NASDAQ,98.95685854159903
2024-03-08,Technology,NASDAQ,100.82503680539801
2024-03-07,Technology,NASDAQ,100.50299994697917
2024-03-06,Technology,NASDAQ,97.29289802395508
2024-03-05,Technology,NASDAQ,96.5656278483865
2024-03-04,Technology,NASDAQ,88.66486551349986
2024-03-01,Technology,NASDAQ,0.7743098908040464
2024-02-29,Technology,NASDAQ,0.7411516382726727
2024-02-28,Technology,NASDAQ,0.7012610346265096
2024-02-27,Technology,NASDAQ,0.8540322347065965
2024-02-26,Technology,NASDAQ,0.8088458444830791
2024-02-23,Technology,NASDAQ,84.36700499430806
2024-02-22,Technology,NASDAQ,86.44284694024294
2024-02-21,Technology,NASDAQ,40.488977213122865
2024-02-20,Technology,NASDAQ,41.818669139451835
2024-02-16,Technology,NASDAQ,42.88203103066904
2024-02-15,Technology,NASDAQ,40.65171323956119
2024-02-14,Technology,NASDAQ,40.94892348339566
2024-02-13,Technology,NASDAQ,40.01977118135785
2024-02-12,Technology,NASDAQ,43.293862920318766
2024-02-09,Technology,NASDAQ,40.91162511737148
2024-02-08,Technology,NASDAQ,40.017823735813806
2024-02-07,Technology,NASDAQ,43.93579794341083
2024-02-06,Technology,NASDAQ,115.31227489115321
2024-02-05,Technology,NASDAQ,30.544398099702438
2024-02-02,Technology,NASDAQ,41.50675016206455
2024-02-01,Technology,NASDAQ,40.93490375253551
2024-01-31,Technology,NASDAQ,40.27318417073267
2024-01-30,Technology,NASDAQ,37.567604449976024
2024-01-29,Technology,NASDAQ,42.028465557132876
2024-01-26,Technology,NASDAQ,41.2842863231613
2024-01-25,Technology,NASDAQ,42.26277765044923
2024-01-24,Technology,NASDAQ,42.233745246817115
2024-01-23,Technology,NASDAQ,41.800918558960284
2024-01-22,Technology,NASDAQ,41.62503077531353
2024-01-19,Technology,NASDAQ,41.466742178648104
2024-01-18,Technology,NASDAQ,40.353818383482036
2024-01-17,Technology,NASDAQ,39.60700685466576
2024-01-16,Technology,NASDAQ,39.765658396404895
2024-01-12,Technology,NASDAQ,39.32683160374682
2024-01-11,Technology,NASDAQ,39.272180213626754
2024-01-10,Technology,NASDAQ,39.07551818315354
2024-01-09,Technology,NASDAQ,38.55644978163677
2024-01-08,Technology,NASDAQ,38.2554960343073
2024-01-05,Technology,NASDAQ,36.861744455964704
2024-01-04,Technology,NASDAQ,36.69188831285933
2024-01-03,Technology,NASDAQ,36.78259638040882
2024-01-02,Technology,NASDAQ,37.24613381471189
2023-12-29,Technology,NASDAQ,38.46007303430344
